Date,Count,Region ID,Disease ID,Disease,Region
1/1/1900,44,1,1,TB,Kolkata
1/2/1900,168,1,1,TB,Kolkata
1/3/1900,146,1,1,TB,Kolkata
1/4/1900,161,1,1,TB,Kolkata
1/5/1900,134,1,1,TB,Kolkata
1/6/1900,108,1,1,TB,Kolkata
1/7/1900,133,1,1,TB,Kolkata
1/8/1900,119,1,1,TB,Kolkata
1/9/1900,112,1,1,TB,Kolkata
1/10/1900,120,1,1,TB,Kolkata
1/11/1900,90,1,1,TB,Kolkata
1/12/1900,87,1,1,TB,Kolkata
1/13/1900,91,1,1,TB,Kolkata
1/14/1900,65,1,1,TB,Kolkata
1/15/1900,310,1,1,TB,Kolkata
1/16/1900,264,1,1,TB,Kolkata
1/17/1900,72,1,1,TB,Kolkata
1/18/1900,233,1,1,TB,Kolkata
1/19/1900,258,1,1,TB,Kolkata
1/20/1900,211,1,1,TB,Kolkata
1/21/1900,216,1,1,TB,Kolkata
1/22/1900,196,1,1,TB,Kolkata
1/23/1900,176,1,1,TB,Kolkata
1/24/1900,176,1,1,TB,Kolkata
