Date,Count,Region ID,Disease ID,Disease,Region
1/1/1900,677,2,1,TB,Delhi
1/2/1900,822,2,1,TB,Delhi
1/3/1900,828,2,1,TB,Delhi
1/4/1900,751,2,1,TB,Delhi
1/5/1900,675,2,1,TB,Delhi
1/6/1900,646,2,1,TB,Delhi
1/7/1900,590,2,1,TB,Delhi
1/8/1900,601,2,1,TB,Delhi
1/9/1900,639,2,1,TB,Delhi
1/10/1900,549,2,1,TB,Delhi
1/11/1900,591,2,1,TB,Delhi
1/12/1900,558,2,1,TB,Delhi
1/13/1900,500,2,1,TB,Delhi
1/14/1900,535,2,1,TB,Delhi
1/15/1900,1164,2,1,TB,Delhi
1/16/1900,1138,2,1,TB,Delhi
1/17/1900,412,2,1,TB,Delhi
1/18/1900,1084,2,1,TB,Delhi
1/19/1900,1041,2,1,TB,Delhi
1/20/1900,1074,2,1,TB,Delhi
1/21/1900,1093,2,1,TB,Delhi
1/22/1900,1032,2,1,TB,Delhi
1/23/1900,988,2,1,TB,Delhi
1/24/1900,957,2,1,TB,Delhi
